ProductNumber,ProductID,ProductCategoryID,ProductSubcategoryID,ProductName,ProductCategoryName,ProductSubcategoryName,ProductColor,ProductStyle,ProductLine,StandardCost,ListPrice,ProductSize,UnitSizeCode,UnitSizeName,ProductWeight,UnitWeightCode,UnitWeightName,SellStartDate,SellEndDate,DiscountinuedDate,ValidityDate_Start,ValidityDate_End
BB-3184,437,,,Road Bottom Bracket,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2020-06-18 00:00:00.000,2030-02-14 00:00:00.000
SP-6821,449,,,Seat Post Clamp,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2020-04-05 00:00:00.000,2028-08-19 00:00:00.000
BT-2156,468,,,Chain Link Bolt 8,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2020-08-11 00:00:00.000,2030-01-28 00:00:00.000
BT-3249,469,,,Chain Link Bolt 12,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2021-05-22 00:00:00.000,2030-03-15 00:00:00.000
NT-5682,491,,,Hex Nut 18,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2021-07-14 00:00:00.000,2029-01-08 00:00:00.000
WR-7193,512,,,Spring Washer,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2020-11-28 00:00:00.000,2028-06-11 00:00:00.000
LN-5729,536,,,Lock Nut 24,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2020-09-17 00:00:00.000,2030-04-09 00:00:00.000
WS-2847,583,,,Flat Washer 11,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2021-03-25 00:00:00.000,2029-02-18 00:00:00.000
WS-2849,584,,,Flat Washer 14,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2020-12-09 00:00:00.000,2027-11-20 00:00:00.000
PL-4762,603,,,Aluminum Plate 5,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2021-08-16 00:00:00.000,2030-05-08 00:00:00.000
PL-8153,607,,,Aluminum Plate 9,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2020-10-11 00:00:00.000,2026-07-19 00:00:00.000
PT-742G,612,,,Paint - Green,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2021-12-08 00:00:00.000,2026-01-14 00:00:00.000
PT-936W,615,,,Paint - White,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2021-11-19 00:00:00.000,2028-03-27 00:00:00.000
WR-T718,630,,,Paint - Blue,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2021-11-19 00:00:00.000,2028-03-27 00:00:00.000
AX-1845,643,,,Performance Spindle,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2021-09-06 00:00:00.000,2027-04-25 00:00:00.000
LG-2164,647,,,Frame Lug,,,,,,,0.00,0.00,,,,,,2009-03-15 00:00:00.000,,,2020-10-23 00:00:00.000,2030-03-11 00:00:00.000
SK-C827-M,828,3,23,Racing Bike Socks M,Clothing,Socks,Black,U,R,4.1825,11.50,M,,,,,2012-06-20 00:00:00.000,2013-06-19 00:00:00.000,,2021-04-15 00:00:00.000,2026-09-11 00:00:00.000
SK-C827-L,829,3,23,Racing Bike Socks L,Clothing,Socks,Black,U,R,4.1825,11.50,L,,,,,2012-06-20 00:00:00.000,2013-06-19 00:00:00.000,,2021-01-18 00:00:00.000,2026-08-05 00:00:00.000
FR-T42B-62,847,2,14,Performance Road Frame - Black 62,Components,Road Frames,Black,U,R,225.8914,425.75,62,CM,Centimeter,2.85,LB,US pound,2012-06-20 00:00:00.000,2014-06-19 00:00:00.000,,2020-11-19 00:00:00.000,2028-02-14 00:00:00.000
FR-N76S-48,859,2,12,Elite Mountain Frame - Silver 48,Components,Mountain Frames,Silver,U,M,825.942,1575.25,48,CM,Centimeter,3.12,LB,US pound,2012-06-20 00:00:00.000,2013-06-19 00:00:00.000,,2020-05-28 00:00:00.000,2030-08-16 00:00:00.000
FR-N76G-52,864,2,12,Elite Mountain Frame - Green 52,Components,Mountain Frames,Green,U,M,818.1705,1564.80,52,CM,Centimeter,3.18,LB,US pound,2012-06-20 00:00:00.000,2013-06-19 00:00:00.000,,2020-07-11 00:00:00.000,2026-06-29 00:00:00.000
